trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
128,0,128,0,5,293.9884236000362,293.9884236000362,0.011564299988094717,[0.41833333333333333],[0.49333333333333335],[1],[0],[0],[2.2864417000091635],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
129,0,129,0,5,296.2923343000002,296.2923343000002,0.01240700000198558,[-0.07],[0.2775],[1],[0],[0],[1.364027600036934],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
130,0,130,0,5,297.6725202000234,297.6725202000234,0.011077100003603846,[-0.49333333333333335],[0.0033333333333333335],[1],[0],[0],[1.8347498999792151],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
131,0,131,0,10,299.53297689999454,299.53297689999454,0.02237229997990653,[-0.31416666666666665],[0.4683333333333333],[1],[0],[0],[3.1760841000359505],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
132,0,132,0,10,302.73095060000196,302.73095060000196,0.019628700043540448,[-0.405],[-0.23],[1],[0],[0],[1.9933061000192538],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
133,0,133,0,10,304.75207510002656,304.75207510002656,0.024081000010482967,[0.28833333333333333],[0.1925],[1],[0],[0],[2.039953199971933],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
134,0,134,0,5,306.8040022000205,306.8040022000205,0.01095060002990067,[-0.0025],[-0.1825],[1],[0],[0],[1.968966599961277],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
135,0,135,0,10,308.7986137000262,308.7986137000262,0.020011700049508363,[-0.07666666666666666],[0.08416666666666667],[1],[0],[0],[1.7586223999969661],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
136,0,136,0,5,310.5721513000317,310.5721513000317,0.01145280001219362,[-0.31333333333333335],[0.059166666666666666],[1],[0],[0],[1.4213434999692254],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
137,0,137,0,10,312.021064999979,312.021064999979,0.020047799975145608,[-0.3325],[-0.45416666666666666],[1],[0],[0],[2.0075051999883726],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
138,0,138,0,10,314.0565657999832,314.0565657999832,0.020270899985916913,[0.2633333333333333],[0.4375],[1],[0],[0],[2.42755689995829],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
139,0,139,0,10,316.49671139998827,316.49671139998827,0.019387400010600686,[-0.24333333333333335],[-0.285],[1],[0],[0],[1.8775665999855846],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
140,0,140,0,10,318.4031845999998,318.4031845999998,0.01960160001181066,[0.075],[0.21583333333333332],[1],[0],[0],[1.5598853999981657],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
141,0,141,0,5,319.97387630003504,319.97387630003504,0.0139997000223957,[0.1725],[-0.0175],[1],[0],[0],[1.5992463000002317],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
142,0,142,0,10,321.59971839998616,321.59971839998616,0.019516400003340095,[-0.3975],[-0.31583333333333335],[1],[0],[0],[2.177730099996552],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
143,0,143,0,10,323.8032259999891,323.8032259999891,0.023121399979572743,[0.3925],[0.03833333333333333],[1],[0],[0],[2.256017800013069],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
144,0,144,0,10,326.080461799982,326.080461799982,0.020122500020079315,[-0.2075],[0.005833333333333334],[1],[0],[0],[1.8093767000245862],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
145,0,145,0,10,327.92170880001504,327.92170880001504,0.022891700034961104,[0.025833333333333333],[-0.42916666666666664],[1],[0],[0],[2.10855669999728],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
146,0,146,0,5,330.0353661000263,330.0353661000263,0.010721599974203855,[0.24416666666666667],[0.2866666666666667],[1],[0],[0],[2.27053540002089],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
147,0,147,0,5,332.326057200029,332.326057200029,0.01246479997644201,[0.16583333333333333],[0.2808333333333333],[1],[0],[0],[1.4832083999644965],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
148,0,148,0,5,333.822113799979,333.822113799979,0.01299970003310591,[0.3983333333333333],[-0.4225],[1],[0],[0],[1.8334241000120528],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
